Posição,Nome Competidor,ID Competidor,Nacionalidade,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,13Q,14Q,15Q,16Q,MRQ,OVERQ,16 MRQ,"a. 1
1Q","a. 2
1Q","a. 3
1Q","a. 4
1Q","a. 5
1Q","a. 6
1Q","a. 7
1Q","a. 8
1Q","a. 9
1Q","a.10
1Q","11 M*
2Q","11 MR
2Q",Total,Nett
2,"STEPHANIE ROBLE, MARGARET SHEA",4605,,2.0,1.0,6.0,9.0,12.0,1.0,9.0,1.0,6.0,4.0,4.0,2.0,6.0,9.0,7.0,-,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,89,77
2,AXEL MAZELLA,425,FRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2
2,CLEMENT BOURGEOIS,919,FRA,2.0,3.0,3.0,1.0,6.0,3.0,(5.0),8.0,2.0,(13.0),(11.0),1.0,3.0,6.0,5.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,125,44
2,"GIMSON JOHN, BURNET ANNA",1668,GBR,3.0,(16.0),3.0,1.0,5.0,4.0,5.0,2.0,1.0,3.0,3.0,3.0,3.0,5.0,1.0,6.0,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,70,54
2,HANSON ELLIOT,1808,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,19.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,2.0,-,2.0,62,43
3,BECKETT MICHAEL,482,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.0,4.0,3.0,6.0,4.0,1.0,26.0,14.0,1.0,1.0,-,10.0,76,50
3,"KURTBAY SINEM, KESKINEN AKSELI",2652,FIN,(14.0),11.0,1.0,3.0,2.0,2.0,2.0,3.0,6.0,2.0,4.0,2.0,9.0,1.0,10.0,7.0,-,-,7.0,-,-,-,-,-,-,-,-,-,-,-,-,86,72
3,"FPIESQCUHIENR, , CELERWMAENNT",1514,,1.0,1.0,14.0,4.0,(19.0),1.0,1.0,16.0,9.0,2.0,5.0,1.0,6.0,15.0,2.0,-,16.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,113,94
3,CERVERA LOUISE,805,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.0,9.0,22.0,7.0,(25.0),24.0,3.0,21.0,14.0,6.0,2.0,-,138,113
3,"NOESS NOESS, HELENE HELENE",3750,,5.0,13.0,1.0,1.0,1.0,4.0,4.0,4.0,6.0,16.0,19.0,4.0,1.0,12.0,3.0,-,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,98,79
3,"WANSER LUISE, AUTENRIETH PHILIPP",5089,,5.0,1.0,1.0,1.0,4.0,(15.0),1.0,13.0,13.0,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66,51
3,MAXIME NOCHER,3377,FRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3
3,SEBASTIAN KOERDEL,4409,GER,(11.0),1.0,6.0,4.0,3.0,2.0,4.0,3.0,(18.0),2.0,(11.0),3.0,1.0,5.0,1.0,11.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86,46
3,ELLIE ALDRIDGE,1261,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3
3,DELPHINE COUSIN,1084,FRA,2.0,3.0,7.0,6.0,2.0,4.0,3.0,4.0,2.0,6.0,11.0,3.0,13.0,15.0,15.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96,53
4,POEMA NEWLAND,4047,FRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4
4,"TBDIROEITGTIOTNE LL EP CAHULE,V FELRO,RIAN",4707,,13.0,10.0,1.0,2.0,6.0,5.0,7.0,3.0,4.0,(18.0),16.0,7.0,2.0,5.0,16.0,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,121,103
4,MARTA MAGGETTI,3215,ITA,13.0,13.0,12.0,7.0,5.0,12.0,6.0,1.0,1.0,7.0,1.0,1.0,7.0,3.0,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92,54
4,BUHL PHILIPP,687,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0,3.0,1.0,1.0,2.0,1.0,1.0,9.0,29.0,19.0,-,16.0,83,54
4,"BOBECK BOBECK, VILMA VILMA",601,,1.0,1.0,14.0,(20.0),2.0,9.0,3.0,2.0,1.0,1.0,1.0,9.0,8.0,5.0,8.0,-,18.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,103,83
4,PLASSCHAERT EMMA,4041,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.0,7.0,10.0,8.0,6.0,37.0,(66.0),5.0,20.0,2.0,14.0,-,181,115
4,"FERRARI GIACOMO, CARUSO BIANCA",1453,,3.0,9.0,1.0,12.0,2.0,3.0,4.0,(15.0),15.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68,53
4,LORENZO BOSCHETTI,2871,ITA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4
4,MACIEJ RUTKOWSKI,2983,,3.0,6.0,12.0,7.0,10.0,4.0,4.0,5.0,5.0,(18.0),5.0,17.0,1.0,(5.0),1.0,(29.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,184,80
4,"WATERHOUSE JASON, DARMANIN LISA",5098,AUS,4.0,9.0,5.0,2.0,7.0,7.0,6.0,4.0,8.0,5.0,(21.0),8.0,14.0,2.0,6.0,5.0,-,-,5.0,-,-,-,-,-,-,-,-,-,-,-,-,118,97
5,KAMIL MANOWIECKI,2460,,6.0,(22.0),1.0,8.0,9.0,(5.0),12.0,(16.0),8.0,8.0,1.0,3.0,5.0,1.0,11.0,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"184,8","89,8"
5,DOUGLAS SARAH,1176,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.0,1.0,16.0,40.0,5.0,(47.0),1.0,1.0,29.0,4.0,10.0,-,166,119
5,ALEXIA FANCELLI,140,FRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5
5,"ARUMAOLR, OLSU,C AESMILE",394,,8.0,3.0,5.0,6.0,(21.0),4.0,5.0,15.0,4.0,1.0,15.0,11.0,7.0,6.0,4.0,-,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,137,116
5,VEERLE TEN HAVE,5003,NZL,9.0,4.0,2.0,5.0,7.0,3.0,4.0,5.0,8.0,4.0,17.0,5.0,3.0,(9.0),5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90,55
5,MARTIN DOLENC,3227,CRO,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5
5,WEARN MATT,5099,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0,1.0,1.0,1.0,1.0,44.0,15.0,4.0,14.0,15.0,-,6.0,104,60
5,"WILKINSON MICAH, DAWSON ERICA",5128,NZL,7.0,1.0,12.0,(16.0),6.0,3.0,3.0,10.0,4.0,4.0,14.0,6.0,4.0,9.0,2.0,10.0,-,-,10.0,-,-,-,-,-,-,-,-,-,-,-,-,121,105
5,"VADLAU LARA, MAHR LUKAS",4949,,7.0,4.0,6.0,4.0,2.0,4.0,(14.0),4.0,1.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68,54
5,"MARIA SOL BRANZ,  CARRANZA SAROLI",3131,,11.0,8.0,6.0,3.0,6.0,3.0,5.0,5.0,5.88,17.0,17.0,6.0,4.0,2.0,1.0,-,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"101,88","84,88"
6,"MERMOD YVES, SIEGENTHALER MAJA",3430,,10.0,10.0,7.0,6.0,1.0,2.0,9.0,(16.0),8.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71,55
6,LOUIS PIGNOLET,2882,FRA,1.0,4.0,8.0,1.0,(16.0),13.0,8.0,6.0,13.0,(16.0),(23.0),3.0,3.0,15.0,15.0,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"157,1","102,1"
6,"LFLAOMRBIRSI, EVXA, NB ADRET",2780,,11.0,8.0,7.0,(3.0),14.0,7.0,8.0,6.0,10.0,5.0,4.0,18.0,14.0,2.0,1.0,-,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,149,117
6,CONNOR BAINBRIDGE,940,GBR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6
6,"UGOLINI GIANLUIGI, GIUBILEI MARIA",4935,ITA,,17.0,18.0,5.0,4.0,13.0,7.0,6.0,3.0,6.0,2.0,12.0,2.0,7.0,8.0,3.0,-,-,3.0,-,-,-,-,-,-,-,-,-,-,-,-,149,116
6,SNELLGROVE HANNAH,4517,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0,23.0,27.0,19.0,(33.0),12.0,8.0,3.0,5.0,12.0,18.0,-,161,128
6,BREIANA WHITEHEAD,648,AUS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6
6,BLANCO JOAQUIN,590,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0,6.0,10.0,8.0,1.0,4.0,3.0,19.0,9.0,9.0,-,20.0,91,72
6,MANON PIANAZZA,3059,FRA,7.0,7.0,5.0,8.0,27.0,17.0,9.0,8.0,7.0,3.0,5.0,7.0,4.0,9.0,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,128,75
6,"LARA GRANIER, AMELIE RIOU",2679,FRA,1.0,5.0,3.0,8.0,6.0,(20.0),2.0,1.0,2.0,8.0,12.0,8.0,14.0,11.0,4.0,-,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,119,99
7,"XAMMAR JORDI, BRUGMAN NORA",5179,,9.0,3.0,(27.0),2.0,7.0,11.0,2.0,9.0,4.0,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,82,55
7,PIERRE LE COQ,4018,,7.0,5.0,7.0,(18.0),8.0,12.0,8.0,11.0,3.0,12.0,(3.0),1.0,(21.0),2.0,3.0,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"180,4","102,4"
7,BENINI FLORIANI CHIARA,505,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15.0,30.0,7.0,(43.0),22.0,10.0,2.0,22.0,8.0,21.0,8.0,-,188,145
7,CHIAVARINI LORENZO BRAND,851,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.0,6.0,10.0,9.0,12.0,3.0,2.0,12.0,8.0,10.0,-,8.0,87,75
7,MADELEINE ANDERSON,2986,GBR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7
7,"MAJDALANI MATEO, BOSCO EUGENIA",3021,ARG,9.0,13.0,8.0,12.0,10.0,10.0,9.0,(16.0),7.0,10.0,10.0,4.0,12.0,14.0,3.0,1.0,-,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,149,133
7,"WERKEN
PRRAESCK,H TF RJEEDNERSIKEN,",5111,,3.0,2.0,6.0,(27.0),15.0,2.0,9.0,9.0,1.0,3.0,3.0,2.0,19.0,17.0,26.0,-,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,154,127
7,THI DE RAMECOURT,4750,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7
7,"ISAURA MAENHAUT, ANOUK GEURTS",2021,BEL,7.0,2.0,8.0,7.0,2.0,4.0,3.0,2.0,7.0,19.0,3.0,1.0,16.0,(20.0),13.0,-,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,120,100
7,LUCIE BELBEOCH,2918,FRA,4.0,5.0,3.0,10.0,15.0,8.0,10.0,7.0,3.0,5.0,11.0,(33.0),2.0,7.0,(33.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,156,75
8,LEONIE MEYER,2762,GER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8
8,"JAKOB
SSATZZTAS ONAIRUWCLFH,I ,SMJIAGKKODUTAABJN S/ KKS",2075,,2.0,2.0,2.0,17.0,27.0,2.0,4.0,(3.0),8.0,16.0,1.0,3.0,16.0,16.0,7.0,-,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,167,135
8,AKKERMAN MIRTHE,62,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17.0,25.0,(31.0),6.0,18.0,3.0,6.0,12.0,25.0,17.0,20.0,-,180,149
8,GIORGIA SPECIALE,1674,ITA,12.0,12.0,8.0,9.0,8.0,18.0,19.0,13.0,9.0,13.0,3.0,11.0,1.0,5.0,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,144,94
8,"SAOUMA-PEDERSEN NATAC, BORRESKOV MATHIAS BRUUN",4337,DEN,6.0,4.0,13.0,8.0,12.0,11.0,8.0,9.0,12.0,12.0,11.0,11.0,7.0,8.0,(16.0),2.0,-,-,2.0,-,-,-,-,-,-,-,-,-,-,-,-,152,136
8,"JANA GERMANI, GIORGIA BERTUZZI",2125,ITA,16.0,5.0,5.0,2.0,10.0,2.0,4.0,7.0,8.0,5.0,6.0,12.0,7.0,3.0,18.0,-,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,118,100
8,"WRIGLEY MARTIN, MCINTYRE EILIDH",5171,,3.0,5.0,2.0,1.0,9.0,10.0,7.0,1.0,(27.0),,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,87,60
8,WILLIM NIK AARON,5150,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.0,5.0,5.0,16.0,2.0,4.0,6.0,1.0,28.0,4.0,-,18.0,105,77
8,RICCARDO PIANOSI,4146,ITA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8
8,JOSHUA ARMIT,2346,NZL,(15.0),13.0,13.0,(28.0),7.0,10.0,(17.0),9.0,11.0,5.0,5.0,9.0,9.0,7.0,3.0,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,168,108
9,FLORIAN GRUBER,1495,GER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9
9,MAJA KUCHTA,3019,,5.0,2.0,9.0,4.0,16.0,5.0,5.0,10.0,15.0,11.0,7.0,(33.0),18.0,9.0,(33.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,182,98
9,STRANSKY MARA,4625,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.0,28.0,12.0,13.0,27.0,2.0,(44.0),29.0,16.0,8.0,4.0,-,203,159
9,THOMAS GOYARD,4768,FRA,12.0,(5.0),4.0,2.0,1.0,(5.0),7.0,2.0,21.0,17.0,29.0,1.0,5.0,3.0,(3.0),5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,262,109
9,"ALEXANDRA MALONEY, OLIVIA HOBBS",131,,3.0,10.0,5.0,10.0,10.0,1.0,1.0,4.0,3.0,10.0,9.0,11.0,3.0,10.0,17.0,-,20.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,127,110
9,"KEIJU OKADA, YOSHIOKA MIHO",2528,,14.0,7.0,6.0,4.0,6.0,9.0,(17.0),6.0,6.0,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81,64
9,GAUTREY GEORGE,1620,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.0,2.0,2.0,2.0,5.0,16.0,5.0,8.0,23.0,18.0,-,14.0,104,81
9,"PPIRAZSYEBCYKTIE, KJ,A CLEUKKSSZ",4061,,7.0,7.0,(3.0),1.0,9.0,7.0,7.0,8.0,6.0,22.0,11.0,13.0,22.0,1.0,12.0,-,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,169,137
9,"VAN DER MEER LAILA, BOUWER BJARNE",4981,NED,2.0,(22.0),20.0,9.0,3.0,5.0,4.0,7.0,13.0,7.0,5.0,15.0,10.0,4.0,14.0,9.0,-,-,9.0,-,-,-,-,-,-,-,-,-,-,-,-,158,136
9,JEMIMA CRATHORNE,2164,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9
10,KWAN CHING MA,2656,HKG,10.0,17.0,13.0,11.0,6.0,7.0,11.0,6.0,5.0,10.0,9.0,(33.0),9.0,11.0,7.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,165,102
10,"MELZACKA, ALEKSANDRA JANKOWIAK, SANDRA",3422,,2.0,7.0,2.0,1.0,8.0,10.0,5.0,10.0,7.0,15.0,13.0,7.0,17.0,18.0,14.0,-,16.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,152,134
10,"MMAOCLLDEIRARUSM,I DA,N IDARNEW",3523,,4.0,5.0,14.0,4.0,18.0,10.0,2.0,1.0,2.0,23.0,(3.0),22.0,4.0,9.0,11.0,-,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,174,143
10,MICHAL POLAK,3458,POL,9.0,(15.0),(16.0),11.0,5.0,14.0,9.0,7.0,10.0,(22.0),5.0,7.0,9.0,10.0,9.0,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,163,110
10,"HEATHCOTE VITA, ORR RYAN",1838,,5.0,5.0,3.0,12.0,(15.0),13.0,15.0,2.0,2.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,94,79
10,QIBIN HUANG,4081,CHN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10
10,JONKER MAXIME,2309,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.0,8.0,34.0,28.0,16.0,33.0,15.0,11.0,(66.0),15.0,6.0,-,235,169
10,JULIA DAMASIEWICZ,2384,POL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10
10,BERNAZ JEAN BAPTISTE,542,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0,2.0,8.0,1.0,5.0,9.0,20.0,16.0,22.0,8.0,-,12.0,104,82
10,"SVENSSON IDA, DACKHAMMAR MARCUS",4651,SWE,8.0,7.0,2.0,6.0,8.0,6.0,15.0,12.0,19.0,11.0,18.0,7.0,5.0,16.0,(23.0),8.0,-,-,8.0,-,-,-,-,-,-,-,-,-,-,-,-,179,156
11,LO RYAN,2854,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.0,4.0,5.0,18.0,3.0,5.0,28.0,20.0,2.0,7.0,-,-,100,72
11,ALINA KORNELLI,159,AUT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.0,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11
11,"ALEXANDRA TEN HOVE, MARIAH MILLEN",133,CAN,4.0,3.0,15.0,6.0,3.0,10.0,11.0,9.0,8.0,18.0,10.0,14.0,11.0,4.0,11.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,137,119
11,"GRADONI MARCO, DUBBINI ALESSANDRA",1711,,6.0,3.0,5.0,8.0,1.0,1.0,(27.0),26.0,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,87,60
11,MICHON PERNELLE,3466,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.0,5.0,20.0,29.0,23.0,23.0,17.0,(44.0),17.0,11.0,-,-,208,164
11,MARION MORTEFON,3174,,3.0,9.0,14.0,15.0,9.0,9.0,7.0,18.0,14.0,12.0,3.0,5.0,15.0,3.0,(33.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,169,103
11,TOM ARNOUX,4854,FRA,4.0,8.0,(17.0),10.0,13.0,11.0,(21.0),4.0,14.0,10.0,9.0,11.0,11.0,(5.0),5.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,206,111
11,"BHAERNRKEONW, SH, AINASN",562,,8.0,4.0,3.0,11.0,16.0,8.0,16.0,1.0,3.0,(19.0),8.0,16.0,12.0,10.0,17.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,152,133
11,BENOIT GOMEZ,523,FRA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.0,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11
11,"JARUDD EMIL, JONSSON HANNA",2144,SWE,5.0,(21.0),6.0,13.0,17.0,18.0,20.0,13.0,5.0,9.0,7.0,9.0,8.0,12.0,7.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,170,149
12,"BERTHOMIEU LOU, MOURNIAC TIM",551,FRA,13.0,15.0,11.0,11.0,9.0,8.0,10.0,8.0,(17.0),8.0,12.0,5.0,16.0,17.0,12.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,172,155
12,TITOUAN LE BOSQ,4836,,19.0,10.0,9.0,14.0,4.0,5.0,3.0,(28.0),7.0,3.0,1.0,19.0,3.0,(5.0),15.0,(3.0),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,236,112
12,"GDUUNNNN,I NOGS CBAERCK, LOGAN",1623,,12.0,6.0,7.0,8.0,1.0,13.0,11.0,5.0,14.0,17.0,(20.0),4.0,8.0,8.0,19.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,153,133
12,"JO ALEH, MOLLY TYPBCMEECH",2228,,6.0,12.0,16.0,4.0,15.0,2.0,9.0,8.0,5.0,3.0,8.0,19.0,15.0,15.0,5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,142,123
12, AGUILAR CHAVEZ PEON,1,,14.0,10.0,4.0,12.0,13.0,11.0,13.0,12.0,17.0,19.0,7.0,3.0,6.0,29.0,13.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,183,118
12,JANNIS MAUS,2138,GER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,12,12
12,ALEXANDER FINN,118,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.0,10.0,5.0,4.0,3.0,13.0,12.0,7.0,24.0,35.0,-,-,116,81
