,RANK,LYCRA NR.,HELMNAME,NAT.,NETT,TOTAL,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,F1,F2,F3,F4,F5,F6,F7,F8
10,11TH,20,LEONIE MEYER,GER,126.0,189.0,8.0-0-0,13.0-0-0,7.0-0-0,9.0-0-0,3.0-0-0,18.0-0-0,2.0-0-0,7.0-0-0,6.0-0-0,11.0-0-0,6.0-0-0,7.0-0-0,11.0-0-0,11.0-0-0,8.0-0-0,9.0-0-0,8.0-0-0,19.0-0-0,26.0-0-DNC
11,12TH,61,JINGYUE CHEN,CHN,132.0,212.0,7.0-0-0,4.0-0-0,18.0-0-0,7.0-0-0,6.0-0-0,7.0-0-0,8.0-0-0,27.0-0-RET,2.0-0-0,3.0-0-0,27.0-0-DNC,5.0-0-0,6.0-0-0,8.0-0-0,11.0-0-0,12.0-0-0,21.0-0-0,7.0-0-0,26.0-0-RET
12,13TH,172,MADELEINE ANDERSON,GBR,135.0,210.0,5.0-0-0,1.0-0-0,5.0-0-0,5.0-0-0,6.0-0-0,2.0-0-0,5.0-0-0,2.0-0-0,27.0-0-UFD,10.0-0-0,9.0-0-0,10.0-0-0,26.0-0-DNC,18.0-0-0,22.0-0-0,20.0-0-0,12.0-0-0,6.0-0-0,19.0-0-0
13,14TH,63,CHENXUE LIU (U21),CHN,147.0,222.0,9.0-0-0,5.0-0-0,9.0-0-0,3.0-0-0,2.0-0-0,6.0-0-0,7.0-0-0,11.0-0-0,27.0-0-UFD,7.0-0-0,8.0-0-0,6.0-0-0,22.0-0-0,12.0-0-0,13.0-0-0,13.0-0-0,15.0-0-0,26.0-0-DNC,21.0-0-0
14,15TH,151,GISELA PULIDO BORRELL,ESP,148.0,225.0,9.0-0-0,10.0-0-0,9.0-0-0,27.0-0-UFD,7.0-0-0,11.0-0-0,10.0-0-0,27.0-0-DNC,4.0-0-0,6.0-0-0,7.0-0-0,15.0-0-0,14.0-0-0,5.0-0-0,23.0-0-0,11.0-0-0,11.0-0-0,9.0-0-0,10.0-0-0
15,16TH,26,ALINA KORNELLI,AUT,149.0,218.0,3.0-0-0,6.0-0-0,2.0-0-0,7.0-0-0,9.0-0-0,15.0-0-0,9.0-0-0,6.0-0-0,4.0-0-0,27.0-0-DNC,6.0-0-0,16.0-0-0,10.0-0-0,14.0-0-0,16.0-0-0,15.0-0-0,26.0-0-DNC,11.0-0-0,16.0-0-0
16,17TH,162,JULIA DAMASIEWICZ (U21),POL,169.0,224.0,4.0-0-0,7.0-0-0,4.0-0-0,11.0-0-0,13.0-0-0,13.0-0-0,4.0-0-0,3.0-0-0,8.0-0-0,4.0-0-0,10.0-0-0,18.0-0-0,17.0-0-0,15.0-0-0,20.0-0-0,21.0-0-0,20.0-0-0,21.0-0-0,11.0-0-0
17,18TH,156,SI WANG (U21),CHN,172.0,234.0,12.0-0-0,12.0-0-0,16.0-0-0,10.0-0-0,9.0-0-0,9.0-0-0,6.0-0-0,7.0-0-0,11.0-0-0,7.0-0-0,3.0-0-0,20.0-0-0,20.0-0-0,26.0-0-DSQ,10.0-0-0,16.0-0-0,13.0-0-0,18.0-0-0,9.0-0-0
18,19TH,75,BREIANA WHITEHEAD,AUS,185.0,254.0,10.0-0-0,8.0-0-0,6.0-0-0,9.0-0-0,12.0-0-0,8.0-0-0,11.0-0-0,17.0-0-0,3.0-0-0,8.0-0-0,10.0-0-0,19.0-0-0,26.0-0-DNC,26.0-0-DNC,15.0-0-0,17.0-0-0,18.0-0-0,13.0-0-0,18.0-0-0
19,20TH,70,MAYA ASHKENAZI,ISR,186.0,250.0,14.0-0-0,10.0-0-0,14.0-0-0,6.0-0-0,10.0-0-0,7.0-0-0,10.0-0-0,12.0-0-0,7.0-0-0,9.0-0-0,11.0-0-0,12.0-0-0,18.0-0-0,26.0-0-DNC,24.0-0-0,22.0-0-0,7.0-0-0,23.0-0-0,8.0-0-0
20,21ST,49,IZABELA SATRJAN,POL,211.0,280.0,20.0-0-0,14.0-0-0,15.0-0-0,12.0-0-0,7.0-0-0,4.0-0-0,6.0-0-0,8.0-0-0,5.0-0-0,18.0-0-0,12.0-0-0,23.0-0-0,23.0-0-0,26.0-0-DNC,18.0-0-0,14.0-0-0,19.0-0-0,16.0-0-0,20.0-0-0
21,22ND,95,CHLOE REVIL,FRA,212.0,271.0,7.0-0-0,3.0-0-0,7.0-0-0,13.0-0-0,10.0-0-0,12.0-0-0,12.0-0-0,8.0-0-0,14.0-0-0,13.0-0-0,13.0-0-0,21.0-0-0,15.0-0-0,20.0-0-0,21.0-0-0,23.0-0-0,22.0-0-0,22.0-0-0,15.0-0-0
22,23RD,136,LYSA CAVAL (U21),FRA,214.0,295.0,27.0-0-DNC,27.0-0-DNC,8.0-0-0,8.0-0-0,20.0-0-0,5.0-0-0,11.0-0-0,5.0-0-0,27.0-0-DNF,10.0-0-0,5.0-0-0,14.0-0-0,16.0-0-0,19.0-0-0,9.0-0-0,25.0-0-0,16.0-0-0,17.0-0-0,26.0-0-DNC
23,24TH,62,WAN LI,CHN,237.0,318.0,11.0-0-0,6.0-0-0,11.0-0-0,10.0-0-0,8.0-0-0,8.0-0-0,18.0-0-0,10.0-0-0,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,17.0-0-0,21.0-0-0,26.0-0-RET,19.0-0-0,18.0-0-0,17.0-0-0,20.0-0-0,17.0-0-0
24,25TH,122,SOFIA TOMASONI,ITA,237.0,304.0,15.0-0-0,9.0-0-0,10.0-0-0,11.0-0-0,8.0-0-0,13.0-0-0,13.0-0-0,9.0-0-0,13.0-0-0,11.0-0-0,11.0-0-0,22.0-0-0,19.0-0-0,16.0-0-0,25.0-0-0,24.0-0-0,23.0-0-0,26.0-0-DNC,26.0-0-DNC
25,1ST,142,DERIN ATAKAN (U21) (U19),TUR,110.0,162.0,13.0-0-0,16.0-0-0,12.0-0-0,19.0-0-0,17.0-0-0,12.0-0-0,16.0-0-0,16.0-0-0,5.0-0-0,5.0-0-0,9.0-0-0,1.0-0-0,2.0-0-0,2.0-0-0,11.0-0-0,1.0-0-0,3.0-0-0,1.0-0-0,1.0-0-0
26,2ND,145,HELOISE PEGOURIE (U21),FRA,123.0,165.0,13.0-0-0,12.0-0-0,11.0-0-0,13.0-0-0,12.0-0-0,11.0-0-0,14.0-0-0,14.0-0-0,12.0-0-0,6.0-0-0,14.0-0-0,5.0-0-0,3.0-0-0,13.0-0-0,3.0-0-0,2.0-0-0,2.0-0-0,2.0-0-0,3.0-0-0
27,3RD,93,ZOE BOUTANG (U21),FRA,130.0,189.0,6.0-0-0,9.0-0-0,13.0-0-0,20.0-0-0,15.0-0-0,15.0-0-0,15.0-0-0,12.0-0-0,15.0-0-0,19.0-0-0,20.0-0-0,2.0-0-0,1.0-0-0,9.0-0-0,1.0-0-0,7.0-0-0,1.0-0-0,3.0-0-0,6.0-0-0
28,4TH,51,JUSTINA KITCHEN,NZL,140.0,207.0,8.0-0-0,11.0-0-0,13.0-0-0,15.0-0-0,15.0-0-0,16.0-0-0,12.0-0-0,27.0-0-UFD,9.0-0-0,9.0-0-0,12.0-0-0,4.0-0-0,7.0-0-0,24.0-0-0,5.0-0-0,3.0-0-0,5.0-0-0,4.0-0-0,8.0-0-0
29,5TH,55,ALEXIA FANCELLI,FRA,150.0,204.0,18.0-0-0,19.0-0-0,17.0-0-0,14.0-0-0,11.0-0-0,17.0-0-0,17.0-0-0,10.0-0-0,9.0-0-0,13.0-0-0,15.0-0-0,6.0-0-0,8.0-0-0,5.0-0-0,2.0-0-0,6.0-0-0,6.0-0-0,7.0-0-0,4.0-0-0
30,6TH,29,NOORA RUSKOLA,FIN,156.0,204.0,13.0-0-SP1,14.0-0-0,12.0-0-0,15.0-0-0,13.0-0-0,14.0-0-0,16.0-0-0,11.0-0-0,12.0-0-0,15.0-0-0,16.0-0-0,3.0-0-0,5.0-0-0,3.0-0-0,8.0-0-0,16.0-0-0,7.0-0-0,6.0-0-0,5.0-0-0
31,7TH,80,MAFALDA PIRES DE LIMA,POR,162.0,223.0,11.0-0-0,17.0-0-0,5.0-0-0,14.0-0-0,14.0-0-0,10.0-0-0,15.0-0-0,13.0-0-0,8.0-0-0,17.0-0-0,17.0-0-0,8.0-0-0,4.0-0-0,14.0-0-0,4.0-0-0,9.0-0-0,27.0-0-UFD,5.0-0-0,11.0-0-0
32,8TH,115,DERIN DENIZ SORGUC (U21) (U19),TUR,165.0,226.0,14.0-0-0,16.0-0-0,18.0-0-0,12.0-0-0,14.0-0-0,16.0-0-0,14.0-0-0,13.0-0-0,15.0-0-0,27.0-0-DNC,16.0-0-0,9.0-0-0,9.0-0-0,4.0-0-0,6.0-0-0,4.0-0-0,4.0-0-0,8.0-0-0,7.0-0-0
33,9TH,3,CATALINA TURIENZO (U21) (U19),ARG,185.0,266.0,16.0-0-0,13.0-0-0,15.0-0-0,27.0-0-UFD,11.0-0-0,14.0-0-0,13.0-0-0,15.0-0-0,10.0-0-0,12.0-0-0,13.0-0-0,23.0-0-0,6.0-0-0,1.0-0-0,27.0-0-DSQ,5.0-0-0,27.0-0-DNC,16.0-0-0,2.0-0-0
34,10TH,132,ANAIS MAI DESJARDINS,FRA,208.0,272.0,16.0-0-0,15.0-0-0,20.0-0-0,16.0-0-0,16.0-0-0,17.0-0-0,17.0-0-0,17.0-0-0,11.0-0-0,16.0-0-0,14.0-0-0,10.0-0-0,15.0-0-0,7.0-0-0,10.0-0-0,27.0-0-DNC,9.0-0-0,9.0-0-0,10.0-0-0
35,11TH,106,MARINA VODISEK,SLO,228.0,305.0,19.0-0-0,18.0-0-0,21.0-0-0,21.0-0-0,23.0-0-0,20.0-0-0,19.0-0-0,19.0-0-0,27.0-0-DNC,14.0-0-0,18.0-0-0,7.0-0-0,27.0-0-DNC,6.0-0-0,7.0-0-0,8.0-0-0,8.0-0-0,14.0-0-0,9.0-0-0
36,12TH,120,ELLA GEIGER (U21),GBR,241.0,309.0,18.0-0-0,17.0-0-0,19.0-0-0,17.0-0-0,18.0-0-0,21.0-0-0,20.0-0-0,20.0-0-0,14.0-0-0,20.0-0-0,19.0-0-0,12.0-0-0,11.0-0-0,10.0-0-0,12.0-0-0,11.0-0-0,11.0-0-0,12.0-0-0,27.0-0-DNC
37,13TH,129,MARIA DO SOCORRO REIS (M),BRA,252.0,333.0,15.0-0-0,27.0-0-UFD,17.0-0-0,27.0-0-UFD,17.0-0-0,21.0-0-0,18.0-0-0,27.0-0-DSQ,27.0-0-DNC,27.0-0-DNC,15.0-0-0,11.0-0-0,10.0-0-0,8.0-0-0,9.0-0-0,10.0-0-0,10.0-0-0,10.0-0-0,27.0-0-DNC
38,14TH,103,MARIE EVE MAYRAND (M),CAN,255.0,321.0,17.0-0-0,19.0-0-0,27.0-0-DNC,17.0-0-0,19.0-0-0,19.0-0-0,20.0-0-0,16.0-0-0,16.0-0-0,15.0-0-0,18.0-0-0,15.0-0-0,13.0-0-0,15.0-0-0,15.0-0-0,14.0-0-0,19.0-0-0,15.0-0-0,12.0-0-0
39,15TH,33,LUCY BILGER,NZL,256.0,332.0,21.0-0-0,20.0-0-0,22.0-0-0,16.0-0-0,16.0-0-0,20.0-0-0,22.0-0-0,15.0-0-0,27.0-0-DNF,21.0-0-0,27.0-0-DNF,17.0-0-0,12.0-0-0,12.0-0-0,14.0-0-0,12.0-0-0,12.0-0-0,13.0-0-0,13.0-0-0
40,16TH,7,ADELAIDA MARQUENIE ROCA,ESP,263.0,344.0,17.0-0-0,15.0-0-0,16.0-0-0,22.0-0-0,18.0-0-0,18.0-0-0,19.0-0-0,14.0-0-0,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,13.0-0-0,27.0-0-DNC,17.0-0-0,16.0-0-0,13.0-0-0,13.0-0-0,11.0-0-0,14.0-0-0
41,17TH,109,EMILY BUGEJA,CAN,301.0,382.0,19.0-0-0,18.0-0-0,21.0-0-0,19.0-0-0,22.0-0-0,22.0-0-0,21.0-0-0,18.0-0-0,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,19.0-0-0,14.0-0-0,11.0-0-0,27.0-0-DNC,17.0-0-0,15.0-0-0,23.0-0-0,15.0-0-0
42,18TH,111,EMMA RENNIE (U21) (U19),GBR,303.0,376.0,23.0-0-0,20.0-0-0,27.0-0-DNC,21.0-0-0,21.0-0-0,23.0-0-0,23.0-0-0,19.0-0-0,17.0-0-0,16.0-0-0,19.0-0-0,21.0-0-0,18.0-0-0,16.0-0-0,20.0-0-0,19.0-0-0,18.0-0-0,17.0-0-0,18.0-0-0
43,19TH,57,CARMEN VERDEYEN,CHI,306.0,382.0,21.0-0-0,25.0-0-0,27.0-0-DNC,20.0-0-0,21.0-0-0,22.0-0-0,22.0-0-0,21.0-0-0,16.0-0-0,22.0-0-0,21.0-0-0,18.0-0-0,17.0-0-0,18.0-0-0,22.0-0-0,15.0-0-0,14.0-0-0,24.0-0-0,16.0-0-0
44,20TH,12,BENYAPA JANTAWAN (M),THA,312.0,393.0,20.0-0-0,21.0-0-0,19.0-0-0,18.0-0-0,19.0-0-0,19.0-0-0,21.0-0-0,18.0-0-0,27.0-0-DNF,17.0-0-0,17.0-0-0,14.0-0-0,23.0-0-0,19.0-0-0,13.0-0-0,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC
45,21ST,54,MARIJA DOLENC (U21) (U19),CRO,332.0,413.0,25.0-0-0,23.0-0-0,20.0-0-0,18.0-0-0,20.0-0-0,25.0-0-0,27.0-0-DNC,20.0-0-0,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,16.0-0-0,19.0-0-0,23.0-0-0,18.0-0-0,22.0-0-0,21.0-0-0,18.0-0-0,17.0-0-0
46,22ND,24,AIJA AMBRASA (M),LAT,333.0,412.0,22.0-0-0,22.0-0-0,22.0-0-0,22.0-0-0,22.0-0-0,23.0-0-0,25.0-0-0,22.0-0-0,17.0-0-0,23.0-0-0,22.0-0-0,27.0-0-DNC,16.0-0-0,27.0-0-DNC,17.0-0-0,20.0-0-0,16.0-0-0,20.0-0-0,27.0-0-DNC
47,23RD,157,SOPHIE RENNIE (U21),GBR,336.0,412.0,22.0-0-0,21.0-0-0,23.0-0-0,24.0-0-0,24.0-0-0,25.0-0-0,23.0-0-0,24.0-0-0,18.0-0-0,18.0-0-0,20.0-0-0,20.0-0-0,22.0-0-0,20.0-0-0,27.0-0-DNC,21.0-0-0,20.0-0-0,21.0-0-0,19.0-0-0
48,24TH,160,EMILIA KOSTI (U21),GRE,360.0,441.0,24.0-0-0,24.0-0-0,27.0-0-DNC,23.0-0-0,25.0-0-0,24.0-0-0,24.0-0-0,23.0-0-0,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,22.0-0-0,21.0-0-0,21.0-0-0,21.0-0-0,18.0-0-0,17.0-0-0,19.0-0-0,27.0-0-UFD
49,25TH,104,MARTYNA DAKOWICZ (M),CAN,369.0,450.0,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,23.0-0-0,24.0-0-0,24.0-0-0,27.0-0-DNC,18.0-0-0,24.0-0-0,23.0-0-0,24.0-0-0,20.0-0-0,22.0-0-0,19.0-0-0,23.0-0-0,22.0-0-0,22.0-0-0,27.0-0-UFD
50,26TH,108,MAGDALENA WOYCIECHOWSKA (U21),POL,432.0,513.0,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC,27.0-0-DNC
