Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
Ariel Zerpa,,Ilca 7,27,O,30,0,289,254,Central and South American Championship 2022,R3,0
Juan Grunwaldt,,Ilca 7,33,O,31,0,298,263,Central and South American Championship 2022,R3,0
Arturo Mitnik,,Ilca 7,24,O,32,0,298,263,Central and South American Championship 2022,R3,0
Mateo Vidal,,Ilca 7,23,O,33,0,320,285,Central and South American Championship 2022,R3,0
Gabriel Martin,,Ilca 7,34,O,34,0,326,291,Central and South American Championship 2022,R3,0
Clemente Seguel Lacámara,,Ilca 7,2,O,1,0,36,24,Central and South American Championship 2022,R4,0
Bruno Fontes,,Ilca 7,1,O,2,0,37,29,Central and South American Championship 2022,R4,0
Stefano Peschiera,,Ilca 7,4,O,3,0,41,33,Central and South American Championship 2022,R4,0
Francisco Guaragna Rigonat,,Ilca 7,6,O,4,0,42,34,Central and South American Championship 2022,R4,0
Matias Dyck,,Ilca 7,3,O,5,0,59,47,Central and South American Championship 2022,R4,0
Juan Pablo Cardozo,,Ilca 7,10,O,6,0,65,51,Central and South American Championship 2022,R4,0
Philipp Grochtmann,,Ilca 7,9,O,7,0,65,56,Central and South American Championship 2022,R4,0
Juan Ignacio Biava,,Ilca 7,5,O,8,0,84,72,Central and South American Championship 2022,R4,0
Felipe Fraquelli,,Ilca 7,7,O,9,0,105,80,Central and South American Championship 2022,R4,0
Renzo Sanguineti,,Ilca 7,8,O,10,0,124,89,Central and South American Championship 2022,R4,0
Mathias Reimer,,Ilca 7,12,O,11,0,112,97,Central and South American Championship 2022,R4,0
Gustavo Nascimento,,Ilca 7,11,O,12,0,118,101,Central and South American Championship 2022,R4,0
Erick Carpes,,Ilca 7,13,O,13,0,147,124,Central and South American Championship 2022,R4,0
Andres Cloos,,Ilca 7,15,O,14,0,164,134,Central and South American Championship 2022,R4,0
Stefano Viale,,Ilca 7,18,O,15,0,159,136,Central and South American Championship 2022,R4,0
Ricardo Seguel Lacámara,,Ilca 7,17,O,16,0,159,138,Central and South American Championship 2022,R4,0
Mauro Pretto,,Ilca 7,19,O,17,0,159,140,Central and South American Championship 2022,R4,0
Pedro Lepecki Madureira,,Ilca 7,14,O,18,0,186,151,Central and South American Championship 2022,R4,0
Mateo Maldonado,,Ilca 7,16,O,19,0,182,153,Central and South American Championship 2022,R4,0
Alejandro Cloos,,Ilca 7,22,O,20,0,205,174,Central and South American Championship 2022,R4,0
Matías Blanco,,Ilca 7,21,O,21,0,202,175,Central and South American Championship 2022,R4,0
Sebastián Leri,,Ilca 7,24,O,22,0,218,183,Central and South American Championship 2022,R4,0
Antonio Bonito,,Ilca 7,20,O,23,0,216,192,Central and South American Championship 2022,R4,0
Stefano Caiafa,,Ilca 7,25,O,24,0,247,212,Central and South American Championship 2022,R4,0
Juan Martín Outeiro,,Ilca 7,23,O,25,0,262,227,Central and South American Championship 2022,R4,0
Enrique Feliú,,Ilca 7,27,O,26,0,258,227,Central and South American Championship 2022,R4,0
Bruno Grunwaldt,,Ilca 7,26,O,27,0,264,234,Central and South American Championship 2022,R4,0
Tomas Varela,,Ilca 7,32,O,28,0,280,248,Central and South American Championship 2022,R4,1
Andres Ruvertoni,,Ilca 7,29,O,29,0,287,252,Central and South American Championship 2022,R4,0
Ariel Zerpa,,Ilca 7,31,O,30,0,289,254,Central and South American Championship 2022,R4,0
Juan Grunwaldt,,Ilca 7,33,O,31,0,298,263,Central and South American Championship 2022,R4,0
Arturo Mitnik,,Ilca 7,28,O,32,0,298,263,Central and South American Championship 2022,R4,0
Mateo Vidal,,Ilca 7,30,O,33,0,320,285,Central and South American Championship 2022,R4,0
Gabriel Martin,,Ilca 7,34,O,34,0,326,291,Central and South American Championship 2022,R4,0
Clemente Seguel Lacámara,,Ilca 7,4,O,1,0,36,24,Central and South American Championship 2022,R5,0
Bruno Fontes,,Ilca 7,8,O,2,0,37,29,Central and South American Championship 2022,R5,1
Stefano Peschiera,,Ilca 7,1,O,3,0,41,33,Central and South American Championship 2022,R5,0
Francisco Guaragna Rigonat,,Ilca 7,3,O,4,0,42,34,Central and South American Championship 2022,R5,0
Matias Dyck,,Ilca 7,9,O,5,0,59,47,Central and South American Championship 2022,R5,0
Juan Pablo Cardozo,,Ilca 7,7,O,6,0,65,51,Central and South American Championship 2022,R5,0
Philipp Grochtmann,,Ilca 7,5,O,7,0,65,56,Central and South American Championship 2022,R5,0
Juan Ignacio Biava,,Ilca 7,12,O,8,0,84,72,Central and South American Championship 2022,R5,1
Felipe Fraquelli,,Ilca 7,2,O,9,0,105,80,Central and South American Championship 2022,R5,0
Renzo Sanguineti,,Ilca 7,6,O,10,0,124,89,Central and South American Championship 2022,R5,0
Mathias Reimer,,Ilca 7,10,O,11,0,112,97,Central and South American Championship 2022,R5,0
Gustavo Nascimento,,Ilca 7,16,O,12,0,118,101,Central and South American Championship 2022,R5,0
Erick Carpes,,Ilca 7,13,O,13,0,147,124,Central and South American Championship 2022,R5,0
Andres Cloos,,Ilca 7,11,O,14,0,164,134,Central and South American Championship 2022,R5,0
Stefano Viale,,Ilca 7,17,O,15,0,159,136,Central and South American Championship 2022,R5,0
Ricardo Seguel Lacámara,,Ilca 7,15,O,16,0,159,138,Central and South American Championship 2022,R5,0
Mauro Pretto,,Ilca 7,18,O,17,0,159,140,Central and South American Championship 2022,R5,0
Pedro Lepecki Madureira,,Ilca 7,20,O,18,0,186,151,Central and South American Championship 2022,R5,0
Mateo Maldonado,,Ilca 7,21,O,19,0,182,153,Central and South American Championship 2022,R5,0
Alejandro Cloos,,Ilca 7,24,O,20,0,205,174,Central and South American Championship 2022,R5,0
Matías Blanco,,Ilca 7,14,O,21,0,202,175,Central and South American Championship 2022,R5,0
Sebastián Leri,,Ilca 7,19,O,22,0,218,183,Central and South American Championship 2022,R5,0
Antonio Bonito,,Ilca 7,23,O,23,0,216,192,Central and South American Championship 2022,R5,0
Stefano Caiafa,,Ilca 7,22,O,24,0,247,212,Central and South American Championship 2022,R5,0
Juan Martín Outeiro,,Ilca 7,26,O,25,0,262,227,Central and South American Championship 2022,R5,0
Enrique Feliú,,Ilca 7,27,O,26,0,258,227,Central and South American Championship 2022,R5,0
Bruno Grunwaldt,,Ilca 7,25,O,27,0,264,234,Central and South American Championship 2022,R5,0
Tomas Varela,,Ilca 7,30,O,28,0,280,248,Central and South American Championship 2022,R5,0
Andres Ruvertoni,,Ilca 7,31,O,29,0,287,252,Central and South American Championship 2022,R5,0
Ariel Zerpa,,Ilca 7,29,O,30,0,289,254,Central and South American Championship 2022,R5,0
Juan Grunwaldt,,Ilca 7,32,O,31,0,298,263,Central and South American Championship 2022,R5,0
Arturo Mitnik,,Ilca 7,28,O,32,0,298,263,Central and South American Championship 2022,R5,0
Mateo Vidal,,Ilca 7,33,O,33,0,320,285,Central and South American Championship 2022,R5,0
Gabriel Martin,,Ilca 7,34,O,34,0,326,291,Central and South American Championship 2022,R5,0
Clemente Seguel Lacámara,,Ilca 7,2,O,1,0,36,24,Central and South American Championship 2022,R6,0
Bruno Fontes,,Ilca 7,1,O,2,0,37,29,Central and South American Championship 2022,R6,0
Stefano Peschiera,,Ilca 7,8,O,3,0,41,33,Central and South American Championship 2022,R6,1
Francisco Guaragna Rigonat,,Ilca 7,5,O,4,0,42,34,Central and South American Championship 2022,R6,0
Matias Dyck,,Ilca 7,12,O,5,0,59,47,Central and South American Championship 2022,R6,1
Juan Pablo Cardozo,,Ilca 7,4,O,6,0,65,51,Central and South American Championship 2022,R6,0
Philipp Grochtmann,,Ilca 7,6,O,7,0,65,56,Central and South American Championship 2022,R6,0
Juan Ignacio Biava,,Ilca 7,7,O,8,0,84,72,Central and South American Championship 2022,R6,0
Felipe Fraquelli,,Ilca 7,20,O,9,0,105,80,Central and South American Championship 2022,R6,0
Renzo Sanguineti,,Ilca 7,3,O,10,0,124,89,Central and South American Championship 2022,R6,0
Mathias Reimer,,Ilca 7,10,O,11,0,112,97,Central and South American Championship 2022,R6,0
Gustavo Nascimento,,Ilca 7,9,O,12,0,118,101,Central and South American Championship 2022,R6,0
Erick Carpes,,Ilca 7,15,O,13,0,147,124,Central and South American Championship 2022,R6,0
Andres Cloos,,Ilca 7,17,O,14,0,164,134,Central and South American Championship 2022,R6,0
Stefano Viale,,Ilca 7,16,O,15,0,159,136,Central and South American Championship 2022,R6,0
Ricardo Seguel Lacámara,,Ilca 7,18,O,16,0,159,138,Central and South American Championship 2022,R6,0
Mauro Pretto,,Ilca 7,14,O,17,0,159,140,Central and South American Championship 2022,R6,0
Pedro Lepecki Madureira,,Ilca 7,13,O,18,0,186,151,Central and South American Championship 2022,R6,0
Mateo Maldonado,,Ilca 7,11,O,19,0,182,153,Central and South American Championship 2022,R6,0
Alejandro Cloos,,Ilca 7,19,O,20,0,205,174,Central and South American Championship 2022,R6,0
Matías Blanco,,Ilca 7,27,O,21,0,202,175,Central and South American Championship 2022,R6,1
Sebastián Leri,,Ilca 7,23,O,22,0,218,183,Central and South American Championship 2022,R6,0
Antonio Bonito,,Ilca 7,22,O,23,0,216,192,Central and South American Championship 2022,R6,0
Stefano Caiafa,,Ilca 7,28,O,24,0,247,212,Central and South American Championship 2022,R6,0
Juan Martín Outeiro,,Ilca 7,26,O,25,0,262,227,Central and South American Championship 2022,R6,0
Enrique Feliú,,Ilca 7,24,O,26,0,258,227,Central and South American Championship 2022,R6,0
Bruno Grunwaldt,,Ilca 7,29,O,27,0,264,234,Central and South American Championship 2022,R6,0
Tomas Varela,,Ilca 7,31,O,28,0,280,248,Central and South American Championship 2022,R6,0
Andres Ruvertoni,,Ilca 7,21,O,29,0,287,252,Central and South American Championship 2022,R6,0
Ariel Zerpa,,Ilca 7,30,O,30,0,289,254,Central and South American Championship 2022,R6,0
Juan Grunwaldt,,Ilca 7,25,O,31,0,298,263,Central and South American Championship 2022,R6,0
Arturo Mitnik,,Ilca 7,35,O,32,DNC,298,263,Central and South American Championship 2022,R6,1
Mateo Vidal,,Ilca 7,32,O,33,0,320,285,Central and South American Championship 2022,R6,0
Gabriel Martin,,Ilca 7,33,O,34,0,326,291,Central and South American Championship 2022,R6,0
Clemente Seguel Lacámara,,Ilca 7,6,O,1,0,36,24,Central and South American Championship 2022,R7,0
Bruno Fontes,,Ilca 7,2,O,2,0,37,29,Central and South American Championship 2022,R7,0
Stefano Peschiera,,Ilca 7,5,O,3,0,41,33,Central and South American Championship 2022,R7,0
Francisco Guaragna Rigonat,,Ilca 7,4,O,4,0,42,34,Central and South American Championship 2022,R7,0
Matias Dyck,,Ilca 7,7,O,5,0,59,47,Central and South American Championship 2022,R7,0
Juan Pablo Cardozo,,Ilca 7,1,O,6,0,65,51,Central and South American Championship 2022,R7,0
Philipp Grochtmann,,Ilca 7,3,O,7,0,65,56,Central and South American Championship 2022,R7,0
Juan Ignacio Biava,,Ilca 7,12,O,8,0,84,72,Central and South American Championship 2022,R7,0
Felipe Fraquelli,,Ilca 7,10,O,9,0,105,80,Central and South American Championship 2022,R7,0
Renzo Sanguineti,,Ilca 7,8,O,10,0,124,89,Central and South American Championship 2022,R7,0
Mathias Reimer,,Ilca 7,9,O,11,0,112,97,Central and South American Championship 2022,R7,0
Gustavo Nascimento,,Ilca 7,11,O,12,0,118,101,Central and South American Championship 2022,R7,0
Erick Carpes,,Ilca 7,23,O,13,0,147,124,Central and South American Championship 2022,R7,1
Andres Cloos,,Ilca 7,18,O,14,0,164,134,Central and South American Championship 2022,R7,0
Stefano Viale,,Ilca 7,22,O,15,0,159,136,Central and South American Championship 2022,R7,0
Ricardo Seguel Lacámara,,Ilca 7,14,O,16,0,159,138,Central and South American Championship 2022,R7,0
Mauro Pretto,,Ilca 7,15,O,17,0,159,140,Central and South American Championship 2022,R7,0
Pedro Lepecki Madureira,,Ilca 7,17,O,18,0,186,151,Central and South American Championship 2022,R7,0
Mateo Maldonado,,Ilca 7,19,O,19,0,182,153,Central and South American Championship 2022,R7,0
Alejandro Cloos,,Ilca 7,13,O,20,0,205,174,Central and South American Championship 2022,R7,0
Matías Blanco,,Ilca 7,16,O,21,0,202,175,Central and South American Championship 2022,R7,0
Sebastián Leri,,Ilca 7,20,O,22,0,218,183,Central and South American Championship 2022,R7,0
Antonio Bonito,,Ilca 7,21,O,23,0,216,192,Central and South American Championship 2022,R7,0
Stefano Caiafa,,Ilca 7,25,O,24,0,247,212,Central and South American Championship 2022,R7,0
Juan Martín Outeiro,,Ilca 7,24,O,25,0,262,227,Central and South American Championship 2022,R7,0
Enrique Feliú,,Ilca 7,26,O,26,0,258,227,Central and South American Championship 2022,R7,0
Bruno Grunwaldt,,Ilca 7,27,O,27,0,264,234,Central and South American Championship 2022,R7,0
Tomas Varela,,Ilca 7,30,O,28,0,280,248,Central and South American Championship 2022,R7,0
Andres Ruvertoni,,Ilca 7,28,O,29,0,287,252,Central and South American Championship 2022,R7,0
Ariel Zerpa,,Ilca 7,29,O,30,0,289,254,Central and South American Championship 2022,R7,0
Juan Grunwaldt,,Ilca 7,35,O,31,DNF,298,263,Central and South American Championship 2022,R7,1
Arturo Mitnik,,Ilca 7,35,O,32,DNC,298,263,Central and South American Championship 2022,R7,0
Mateo Vidal,,Ilca 7,35,O,33,DNF,320,285,Central and South American Championship 2022,R7,1
Gabriel Martin,,Ilca 7,31,O,34,0,326,291,Central and South American Championship 2022,R7,0
Clemente Seguel Lacámara,,Ilca 7,12,O,1,0,36,24,Central and South American Championship 2022,R8,1
Bruno Fontes,,Ilca 7,4,O,2,0,37,29,Central and South American Championship 2022,R8,0
Stefano Peschiera,,Ilca 7,1,O,3,0,41,33,Central and South American Championship 2022,R8,0
Francisco Guaragna Rigonat,,Ilca 7,8,O,4,0,42,34,Central and South American Championship 2022,R8,1
Matias Dyck,,Ilca 7,3,O,5,0,59,47,Central and South American Championship 2022,R8,0
Juan Pablo Cardozo,,Ilca 7,14,O,6,0,65,51,Central and South American Championship 2022,R8,1
Philipp Grochtmann,,Ilca 7,5,O,7,0,65,56,Central and South American Championship 2022,R8,0
Juan Ignacio Biava,,Ilca 7,10,O,8,0,84,72,Central and South American Championship 2022,R8,0
Felipe Fraquelli,,Ilca 7,25,O,9,0,105,80,Central and South American Championship 2022,R8,1
Renzo Sanguineti,,Ilca 7,19,O,10,0,124,89,Central and South American Championship 2022,R8,0
Mathias Reimer,,Ilca 7,15,O,11,0,112,97,Central and South American Championship 2022,R8,1
Gustavo Nascimento,,Ilca 7,17,O,12,0,118,101,Central and South American Championship 2022,R8,1
Erick Carpes,,Ilca 7,6,O,13,0,147,124,Central and South American Championship 2022,R8,0
Andres Cloos,,Ilca 7,30,O,14,0,164,134,Central and South American Championship 2022,R8,1
Stefano Viale,,Ilca 7,9,O,15,0,159,136,Central and South American Championship 2022,R8,0
Ricardo Seguel Lacámara,,Ilca 7,21,O,16,0,159,138,Central and South American Championship 2022,R8,0
Mauro Pretto,,Ilca 7,7,O,17,0,159,140,Central and South American Championship 2022,R8,0
Pedro Lepecki Madureira,,Ilca 7,22,O,18,0,186,151,Central and South American Championship 2022,R8,0
Mateo Maldonado,,Ilca 7,29,O,19,0,182,153,Central and South American Championship 2022,R8,1
Alejandro Cloos,,Ilca 7,31,O,20,0,205,174,Central and South American Championship 2022,R8,1
Matías Blanco,,Ilca 7,27,O,21,0,202,175,Central and South American Championship 2022,R8,0
Sebastián Leri,,Ilca 7,13,O,22,0,218,183,Central and South American Championship 2022,R8,0
Antonio Bonito,,Ilca 7,20,O,23,0,216,192,Central and South American Championship 2022,R8,0
Stefano Caiafa,,Ilca 7,2,O,24,0,247,212,Central and South American Championship 2022,R8,0
Juan Martín Outeiro,,Ilca 7,16,O,25,0,262,227,Central and South American Championship 2022,R8,0
Enrique Feliú,,Ilca 7,24,O,26,0,258,227,Central and South American Championship 2022,R8,0
Bruno Grunwaldt,,Ilca 7,26,O,27,0,264,234,Central and South American Championship 2022,R8,0
Tomas Varela,,Ilca 7,18,O,28,0,280,248,Central and South American Championship 2022,R8,0
Andres Ruvertoni,,Ilca 7,34,O,29,0,287,252,Central and South American Championship 2022,R8,0
Ariel Zerpa,,Ilca 7,11,O,30,0,289,254,Central and South American Championship 2022,R8,0
Juan Grunwaldt,,Ilca 7,33,O,31,0,298,263,Central and South American Championship 2022,R8,0
Arturo Mitnik,,Ilca 7,28,O,32,0,298,263,Central and South American Championship 2022,R8,0
Mateo Vidal,,Ilca 7,32,O,33,0,320,285,Central and South American Championship 2022,R8,0
Gabriel Martin,,Ilca 7,23,O,34,0,326,291,Central and South American Championship 2022,R8,0
Clemente Seguel Lacámara,,Ilca 7,2,O,1,0,36,24,Central and South American Championship 2022,R9,0
Bruno Fontes,,Ilca 7,8,O,2,0,37,29,Central and South American Championship 2022,R9,0
Stefano Peschiera,,Ilca 7,3,O,3,0,41,33,Central and South American Championship 2022,R9,0
Francisco Guaragna Rigonat,,Ilca 7,1,O,4,0,42,34,Central and South American Championship 2022,R9,0
Matias Dyck,,Ilca 7,4,O,5,0,59,47,Central and South American Championship 2022,R9,0
Juan Pablo Cardozo,,Ilca 7,7,O,6,0,65,51,Central and South American Championship 2022,R9,0
Philipp Grochtmann,,Ilca 7,9,O,7,0,65,56,Central and South American Championship 2022,R9,0
Juan Ignacio Biava,,Ilca 7,11,O,8,0,84,72,Central and South American Championship 2022,R9,0
Felipe Fraquelli,,Ilca 7,6,O,9,0,105,80,Central and South American Championship 2022,R9,0
Renzo Sanguineti,,Ilca 7,35,O,10,UFD,124,89,Central and South American Championship 2022,R9,1
Mathias Reimer,,Ilca 7,10,O,11,0,112,97,Central and South American Championship 2022,R9,0
Gustavo Nascimento,,Ilca 7,5,O,12,0,118,101,Central and South American Championship 2022,R9,0
Erick Carpes,,Ilca 7,14,O,13,0,147,124,Central and South American Championship 2022,R9,0
Andres Cloos,,Ilca 7,12,O,14,0,164,134,Central and South American Championship 2022,R9,0
Stefano Viale,,Ilca 7,16,O,15,0,159,136,Central and South American Championship 2022,R9,0
Ricardo Seguel Lacámara,,Ilca 7,13,O,16,0,159,138,Central and South American Championship 2022,R9,0
Mauro Pretto,,Ilca 7,15,O,17,0,159,140,Central and South American Championship 2022,R9,0
Pedro Lepecki Madureira,,Ilca 7,35,O,18,DNC,186,151,Central and South American Championship 2022,R9,1
Mateo Maldonado,,Ilca 7,17,O,19,0,182,153,Central and South American Championship 2022,R9,0
